Sl. No.,S.N,Santali Latin,SANTALI
210,Feronia Elephantum,"kaṭ bel, kõc bel","ᱠᱟᱛ ᱵᱮᱞ, ᱠᱚᱸᱪ ᱵᱮᱞ"
211,Ficus,poḍo,ᱯᱚᱰᱚ
212,Ficus benghalensis,baṛe dare,ᱵᱟᱲᱮ ᱫᱟᱨᱮ
213,Ficus tomentosa,capakiạ baṛe,ᱪᱟᱯᱟᱠᱤᱭᱟᱹ ᱵᱟᱲᱮ
214,Ficus religiosus (sic - Ficus religiosa),"hesak̕, jamṛo hesak̕","ᱦᱮᱥᱟᱜ, ᱡᱟᱢᱲᱚ ᱦᱮᱥᱟᱜ"
215,Ficus cunia,"ho̱ṛ po̱ḍo̱, poḍo","ᱦᱚᱲ ᱯᱚᱰᱚᱚ, ᱯᱚᱰᱚ"
216,Ficus glomerata,loa,ᱞᱚᱣᱟ
217,Ficus scandens,mạdhur lata,ᱢᱟᱹᱫᱷᱩᱨ ᱞᱟᱛᱟ
218,Ficus Infectoria,pakaṛe dare,ᱯᱟᱠᱟᱲᱮ ᱫᱟᱨᱮ
219,Ficus hispida,seta poḍo,ᱥᱮᱛᱟ ᱯᱚᱰᱚ
220,Ficus cordifolia,sunum joṛ,ᱥᱩᱱᱩᱢ ᱡᱚᱲ
221,Ficus conglomerata,hạ̃ṛũ,ᱦᱟᱺᱬᱩᱸ
222,Fimbristylis monostachya,"bhiṇḍi muthạ, muthạ ghãs, nanha biṇḍi muthạ","ᱵᱷᱤᱱᱰᱤ ᱢᱩᱴᱷᱟᱹ, ᱢᱩᱴᱷᱟᱹ ᱜᱷᱟᱸᱥ, ᱱᱟᱱᱦᱟ ᱵᱷᱤᱱᱰᱤ ᱢᱩᱴᱷᱟᱹ"
223,Fimbristylis miliacea,nạkic̕ ghãs,ᱱᱟᱹᱠᱤᱪ ᱜᱷᱟᱸᱥ
224,Flacourtia ramontchi,me̱le̱c̕,ᱢᱮᱞᱮᱠ
